센터명,시도,시군구,우편번호,주소1,주소2,대표전화번호,FAX번호,홈페이지
인천계양구학교밖청소년지원센터,인천광역시,계양구,21026,인천광역시 계양구,장제로 937 (계양구청소년수련관 4층),032-547-0853,070-7580-0853,비어있음
인천서구학교밖청소년지원센터,인천광역시,서구,22771,인천광역시 서구,"원적로 7번길 12, 2층(청소년지원센터 꿈드림)  ",032-584-1387,비어있음,https://www.sg1388.or.kr
광주광역시학교밖청소년지원센터,광주광역시,서구,62024,광주광역시 서구 학생독립로 37 (화정동),", 광주시청소년수련원 D동 2층",062-376-1324,비어있음,http://www.flyyouth.or.kr
광주동구학교밖청소년지원센터,광주광역시,동구,61502,광주광역시 동구,"지원로 34 (소태동) , 3층 ",062-673-1318,062-227-1318,http://dgdream.or.kr
광주서구학교밖청소년지원센터,광주광역시,서구,61966,광주광역시 서구 상무오월로 23 (쌍촌동),3층,062-710-1388,비어있음,http://kdream1388.com/
광주남구학교밖청소년지원센터,광주광역시,남구,61727,광주광역시 남구,"서문대로 693(진월동), 남구청소년상담복지센터 1층   ",062-716-1324,비어있음,비어있음
광주북구학교밖청소년지원센터,광주광역시,북구,61132,광주광역시 북구,대천로 86 북구청소년수련관 1층,062-268-1318,062-264-1388,http://www.ok1388.kr
광주광산구학교밖청소년지원센터,광주광역시,광산구,62363,광주광역시 광산구,무진대로 246-7(우산동) 우산LH 관리동 2층,062-951-1378,비어있음,비어있음
대전광역시학교밖청소년지원센터,대전광역시,동구,34630,대전광역시 동구 대전천동로 508 (원동),", 6층",042-222-1388,비어있음,http://cumdream.or.kr
대전서구학교밖청소년지원센터,대전광역시,서구,35223,대전광역시 서구 월평로 71 (월평동),4층,042-527-1388,042-487-1388,http://sgy1388.or.kr/
대전유성구학교밖청소년지원센터,대전광역시,유성구,34166,대전광역시 유성구,"유성대로 798-1, 메디칼벤처센터 2층(장대동)   ",042-826-1388,비어있음,https://blog.naver.com/udream1388
울산광역시학교밖청소년지원센터,울산광역시,중구,44532,"울산광역시 중구 강북로 105 (성남동, 롯데캐슬 스카이)",", 2층 205호",052-227-2000,052-211-2979,http://www.counteen.or.kr/
울산남구학교밖청소년지원센터,울산광역시,남구,44692,울산광역시 남구,돋질로 106 마이코즈 2층,052-700-1388,052-292-1388,https://www.ulsannamgu.go.kr/1388/cmm/main/usng_dream.do
울산동구학교밖청소년지원센터,울산광역시,동구,44070,울산광역시 동구 대학길 59 (화정동),3층,052-201-5279,비어있음,http://www.friend5279.or.kr
울산북구학교밖청소년지원센터,울산광역시,북구,44224,울산광역시 북구,"제내1길 6, 복음빌딩 4층   ",052-281-0924,비어있음,비어있음
울산울주군학교밖청소년지원센터,울산광역시,울주군,45001,울산광역시 울주군 온산읍 덕신로 299,6층,052-229-9635,비어있음,https://www.uljusiseol.or.kr/ulju1388/
세종특별자치시학교밖청소년지원센터,세종특별자치시,*,30024,세종특별자치시 조치원읍 새내로 108,", 2층(세종시청소년지원센터 꿈드림)",044-868-1318,비어있음,https://sj1388.or.kr/
경기도학교밖청소년지원센터,경기도,수원시 영통구,16506,경기도 수원시 영통구 광교로 156 (이의동),", 광교비즈니스센터 105호",031-253-1519,031-241-0981,https://gdream.or.kr
수원시학교밖청소년지원센터,경기도,수원시 팔달구,16486,경기도 수원시 팔달구,권광로 293 수원청소년문화센터 B1층,031-236-1317,비어있음,비어있음
성남시학교밖청소년지원센터,경기도,성남시 중원구,13409,경기도 성남시 중원구 마지로 54 (하대원동),2층 성남시학교밖청소년지원센터,031-729-9150,비어있음,비어있음
의정부시학교밖청소년지원센터,경기도,의정부시,11714,경기도 의정부시,"둔야로 9, 5층    ",031-828-9572,비어있음,비어있음
안양시학교밖청소년지원센터,경기도,안양시 만안구,13997,경기도 안양시 만안구,안양로 263번길 31(안양동) 1층,031-8045-5012,031-446-0246,비어있음
부천시학교밖청소년지원센터,경기도,부천시,14727,경기도 부천시,경인로 92번길 33 송내어울마당 5층,032-327-2232,비어있음,비어있음
광명시학교밖청소년지원센터,경기도,광명시,14241,경기도 광명시,디지털로 34 노둣돌 1호동 3층,02-6677-1318,022-060-0314,https://gmyouth.or.kr/kdream/index.do
평택시학교밖청소년지원센터,경기도,평택시,17903,경기도 평택시,평남로 616 청소년문화센터 2층 꿈드림,070-4159-5482,031-655-5485,비어있음
동두천시학교밖청소년지원센터,경기도,동두천시,11325,경기도 동두천시 동두천로 314 (생연동),동두천시복합문화커뮤니티센터 3층,031-865-2000,비어있음,https://1388.tistory.com/
안산시학교밖청소년지원센터,경기도,안산시 단원구,15387,경기도 안산시 단원구 원초로 76 (초지동),4층 안산시학교밖청소년지원센터,031-364-1018,031-486-0944,https://www.aycc.org/
고양시학교밖청소년지원센터,경기도,고양시,10512,경기도 고양시,덕양구 중앙로 633번길 25 토당청소년수련관 2층,031-995-4270,비어있음,비어있음
과천시학교밖청소년지원센터,경기도,과천시,13828,경기도 과천시 공원마을1길 54 (문원동),"3층, 두번째 샛뜨락",02-504-5505,비어있음,비어있음
구리시학교밖청소년지원센터,경기도,구리시,11934,경기도 구리시 안골로 32-1 (교문동),1층 구리시 청소년 상담복지센터 청소년 지원센터 꿈드림,031-565-1388,비어있음,비어있음
남양주시학교밖청소년지원센터,경기도,남양주시,12244,경기도 남양주시,다산지금로51-47 남양주시청소년수련관 2층 해밀교실라온짬,031-590-3946,비어있음,비어있음
오산시학교밖청소년지원센터,경기도,오산시,18136,경기도 오산시,오산로278번길 3,031-372-4004,비어있음,비어있음
시흥시학교밖청소년지원센터,경기도,시흥시,15055,경기도 시흥시 정왕대로233번길 33 (정왕동),"3층, 학교밖청소년지원센터",031-404-1318,031-315-1319,https://www.shyouth.or.kr/shhch/main/view
군포시학교밖청소년지원센터,경기도,군포시,15823,경기도 군포시 수리산로 112 (산본동),슬기관 2층 군포시학교밖청소년지원센터,031-399-1366,비어있음,https://www.gpyf.or.kr/gpsp/contentsInfo.do?brd_mgrno=0&menu_no=1031
의왕시학교밖청소년지원센터,경기도,의왕시,16014,경기도 의왕시,"안양판교로 82, 포일어울림센터2층    ",031-347-1334,비어있음,비어있음
하남시학교밖청소년지원센터,경기도,하남시,12919,경기도 하남시,조정대로 111 청소년수련관 내 2층,031-760-5860,비어있음,비어있음
용인시학교밖청소년지원센터,경기도,용인시 처인구,17019,경기도 용인시 처인구,"중부대로 1161번길 69-2, 2층  ",031-328-9848,비어있음,비어있음
파주시학교밖청소년지원센터,경기도,파주시,10915,경기도 파주시,금릉역로 85 금릉역사 2층 파주시청소년지원센터 꿈드림,031-540-5340,031-946-1133,https://www.pcy.or.kr/kd/
이천시학교밖청소년지원센터,경기도,이천시,17380,경기도 이천시 이섭대천로 1119 (증일동),1층,031-8011-3133,031-8011-3006,http://www.icfyouth.or.kr/
안성시학교밖청소년지원센터,경기도,안성시,17562,경기도 안성시,공도읍 공도5로 28,031-647-6151,비어있음,비어있음
김포시학교밖청소년지원센터,경기도,김포시,10099,경기도 김포시,걸포로76 중봉청소년수련관 3층,031-980-1691,비어있음,비어있음
화성시학교밖청소년지원센터,경기도,화성시,18299,경기도 화성시,"봉담읍 효행로 212, 2층   ",031-278-0179,031-278-0177,https://hskdream.or.kr/
광주시학교밖청소년지원센터,경기도,광주시,12779,경기도 광주시 회안대로 350-17 (태전동),4층 꿈드림,031-762-1318,비어있음,http://www.ggj1388.or.kr
양주시학교밖청소년지원센터,경기도,양주시,11492,경기도 양주시,고읍남로 205 양주청소년문화의집 3층,031-858-1318,비어있음,비어있음
포천시학교밖청소년지원센터,경기도,포천시,11184,경기도 포천시,"소흘읍 호국로 523번길 59-56, 청소년교육문화센터 2층 ",031-540-0663,비어있음,비어있음
여주시학교밖청소년지원센터,경기도,여주시,12623,경기도 여주시,청심로 88 3층,031-886-0541,비어있음,https://www.yeoju.go.kr/youth/index.do
가평군학교밖청소년지원센터,경기도,가평군,12452,경기도 가평군,청평면 은고개로39 청평호반문화체육센터 1층,031-582-2000,비어있음,비어있음
양평군학교밖청소년지원센터,경기도,양평군,12515,경기도 양평군,용문면 다문북길 59-7,031-770-3835,비어있음,비어있음
강원특별자치도학교밖청소년지원센터,강원특별자치도,춘천시,24270,강원특별자치도 춘천시 중앙로 14 (요선동),", 1층",033-257-9805,비어있음,https://www.gwdream.or.kr/
춘천시학교밖청소년지원센터,강원특별자치도,춘천시,24399,강원특별자치도 춘천시 동내면 거두택지길 70 (춘천거두2지구행복주택),2층 춘천꿈드림 청소년카페 DREAM,033-818-1318,070-522-8798,http://8181388.co.kr/
원주시학교밖청소년지원센터,강원특별자치도,원주시,26475,강원특별자치도 원주시 서원대로 234 (단계동),원주시청소년수련관 이음관 3층 꿈드림센터,033-813-1318,비어있음,http://www.wonju1388.kr/
강릉시학교밖청소년지원센터,강원특별자치도,강릉시,25534,강원특별자치도 강릉시 임영로141번길 10 (용강동),강릉시학교밖청소년지원센터 꿈드림,033-646-7942,033-646-7912,https://www.gn1388.or.kr/
동해시학교밖청소년지원센터,강원특별자치도,동해시,25735,강원특별자치도 동해시 부곡1길 6 (부곡동),2층,033-539-8175,비어있음,https://www.dh.go.kr/dhyc/index.do
태백시학교밖청소년지원센터,강원특별자치도,태백시,26044,강원특별자치도 태백시 태백로 1663 (문곡동),비어있음,033-582-1389,비어있음,비어있음
속초시학교밖청소년지원센터,강원특별자치도,속초시,24867,강원특별자치도 속초시 관광로363번길 14 (노학동),속초시청소년수련관 1층,033-635-0924,비어있음,비어있음
삼척시학교밖청소년지원센터,강원특별자치도,삼척시,25919,강원특별자치도 삼척시 엑스포로 50-1 (성남동),3층,033-575-5003,비어있음,비어있음
홍천군학교밖청소년지원센터,강원특별자치도,홍천군,25131,강원특별자치도 홍천군 홍천읍 산림공원2길 31,2층 청소년상담복지센터,033-432-1386,비어있음,비어있음
영월군학교밖청소년지원센터,강원특별자치도,영월군,26237,강원특별자치도 영월군 영월읍 제방안길 100,비어있음,033-375-1318,비어있음,비어있음
정선군학교밖청소년지원센터,강원특별자치도,정선군,26150,강원특별자치도 정선군 사북읍 사북6길 12-6,비어있음,033-591-1314,비어있음,비어있음
철원군학교밖청소년지원센터,강원특별자치도,철원군,24037,강원특별자치도 철원군 갈말읍 명성로179번길 26,비어있음,033-450-5388,033-450-5166,비어있음
충청북도학교밖청소년지원센터,충청북도,청주시 상당구,28545,충청북도 청주시 상당구 사직대로361번길 17 (영동),1층 학교밖청소년지원센터,043-257-0105,비어있음,http://1388.cbyouth.net/www/main
청주시학교밖청소년지원센터,충청북도,청주시 상당구,28543,충청북도 청주시 상당구,"중앙로 30, 7층(청하빌딩)   ",043-223-0753,비어있음,http://www.cj1388.or.kr/
서청주학교밖청소년지원센터,충청북도,청주시 흥덕구,28436,충청북도 청주시 흥덕구,직지대로 351번길 56 (청주시청소년수련관 3층),043-264-8801,043-297-1380,http://www.1388cw.or.kr/
충주시학교밖청소년지원센터,충청북도,충주시,27411,충청북도 충주시,"중원대로 3324, 1층    ",043-856-7804,비어있음,비어있음
제천시학교밖청소년지원센터,충청북도,제천시,27152,충청북도 제천시,"의림대로 264, 2층(비둘기상가A동)    ",043-642-7950,비어있음,http://www.jc1318.or.kr
보은군학교밖청소년지원센터,충청북도,보은군,28936,충청북도 보은군,보은읍 군청길 114,043-542-1388,비어있음,비어있음
옥천군학교밖청소년지원센터,충청북도,옥천군,29040,충청북도 옥천군,옥천읍 동부로 39 청소년수련관 1층,043-731-1388,비어있음,비어있음
영동군학교밖청소년지원센터,충청북도,영동군,29149,충청북도 영동군,영동읍 성안길 8 청소년수련관 2층,043-744-5700,비어있음,비어있음
증평군학교밖청소년지원센터,충청북도,증평군,27948,충청북도 증평군,증평읍 보건복지로 64-2 청소년수련관 2층,043-835-4193,비어있음,비어있음
진천군학교밖청소년지원센터,충청북도,진천군,27832,충청북도 진천군,진천읍 포석길 37-10(청소년수련관 4층),043-536-3430,비어있음,비어있음
괴산군학교밖청소년지원센터,충청북도,괴산군,28035,충청북도 괴산군,괴산읍 읍내로6길 20-9,043-834-7945,비어있음,비어있음
음성군학교밖청소년지원센터,충청북도,음성군,27697,충청북도 음성군 음성읍 문화1길 10-3,음성군학교밖청소년지원센터,043-872-9024,043-872-9025,http://www.es1388.or.kr/
단양군학교밖청소년지원센터,충청북도,단양군,27012,충청북도 단양군,"단양읍 삼봉로 187-18, 청소년수련관 2층  ",043-421-8370,043-421-8375,비어있음
충청남도학교밖청소년지원센터,충청남도,천안시 서북구,31100,충청남도 천안시 서북구 두정로 181 (두정동),", 3층(대연빌딩)",041-554-1380,비어있음,https://cnyouth.or.kr/
천안시학교밖청소년지원센터,충청남도,천안시 동남구,31123,충청남도 천안시 동남구,먹거리 11길 45,041-415-1318,비어있음,비어있음
공주시학교밖청소년지원센터,충청남도,공주시,32546,충청남도 공주시,대통1길 69-1 공주시학교밖청소년지원센터,041-854-7942,041-854-7941,비어있음
보령시학교밖청소년지원센터,충청남도,보령시,33466,충청남도 보령시,"문화원길9, 보령시청소년상담복지센터",041-935-1388,비어있음,http://www.dongmuya.or.kr/
아산시학교밖청소년지원센터,충청남도,아산시,31506,충청남도 아산시 번영로54번길 21 (온천동),2층~3층 아산시학교밖청소년지원센터,041-544-1388,비어있음,비어있음
서산시학교밖청소년지원센터,충청남도,서산시,31967,충청남도 서산시,"서령로 136, 서산문화복지센터 청소년수련관 3층  ",041-669-9056,041-681-2000,http://haemaum.com/
논산시학교밖청소년지원센터,충청남도,논산시,32993,충청남도 논산시,논산대로 424 (청소년청년재단 1층),041-730-6051,비어있음,https://www.nsyouth.or.kr/kr/
계룡시학교밖청소년지원센터,충청남도,계룡시,32801,충청남도 계룡시 신도안면 송정길 174,2층,042-841-0343,비어있음,비어있음
당진시학교밖청소년지원센터,충청남도,당진시,31772,충청남도 당진시,"무수동7길 142-26, 2층 당진시청소년상담복지센터   ",041-357-2000,비어있음,비어있음
금산군학교밖청소년지원센터,충청남도,금산군,32726,충청남도 금산군,금산읍 인삼로 17 금산청소년미래센터 1층,041-751-1383,비어있음,비어있음
부여군학교밖청소년지원센터,충청남도,부여군,33124,충청남도 부여군 규암면 수북로41번길 8-1,부여군학교밖청소년지원센터 꿈드림,041-837-1885,비어있음,비어있음
서천군학교밖청소년지원센터,충청남도,서천군,33644,충청남도 서천군,"서천읍 서천향교길 3, 2층   ",041-953-4040,비어있음,비어있음
청양군학교밖청소년지원센터,충청남도,청양군,33339,충청남도 청양군,청양읍 문화예술로 187-1 청소년문화의집 3층,041-942-1388,비어있음,비어있음
홍성군학교밖청소년지원센터,충청남도,홍성군,32272,충청남도 홍성군 홍북읍 홍학로 48,4층 홍성군청소년상담복지센터,041-642-1388,비어있음,비어있음
예산군학교밖청소년지원센터,충청남도,예산군,32423,충청남도 예산군 예산읍 벚꽃로 214-17,2층,041-335-5700,041-335-5701,http://yesanyouth.or.kr/
태안군학교밖청소년지원센터,충청남도,태안군,32140,충청남도 태안군,태안읍 백화로199,041-674-2800,041-674-2803,http://www.happy1388.or.kr
전북특별자치도학교밖청소년지원센터,전북특별자치도,전주시 덕진구,54935,전북특별자치도 전주시 덕진구 팔달로 346 (진북동),비어있음,063-273-1388,비어있음,비어있음
전주시학교밖청소년지원센터,전북특별자치도,전주시 완산구,55081,전북특별자치도 전주시 완산구,"용머리로 94, 3층   ",063-227-1005,비어있음,http://www.jjsangdam.or.kr/
군산시학교밖청소년지원센터,전북특별자치도,군산시,54121,전북특별자치도 군산시,동리 2길 7(삼학동),063-468-2870,비어있음,비어있음
익산시학교밖청소년지원센터,전북특별자치도,익산시,54621,전북특별자치도 익산시,"인북로 187, 익산상공회의소 5층   ",063-853-1388,063-856-1388,www.iksan.go.kr/1388/index.iksan
정읍시학교밖청소년지원센터,전북특별자치도,정읍시,56190,전북특별자치도 정읍시,"상동중앙로 14, 2층    ",063-537-5003,비어있음,비어있음
남원시학교밖청소년지원센터,전북특별자치도,남원시,55749,전북특별자치도 남원시,충정로 72 남원시학교밖청소년지원센터 3층,063-633-1977,비어있음,비어있음
김제시학교밖청소년지원센터,전북특별자치도,김제시,54368,전북특별자치도 김제시 도작로 224-32 (검산동),비어있음,063-545-0112,비어있음,비어있음
완주군학교밖청소년지원센터,전북특별자치도,완주군,55340,전북특별자치도 완주군,"삼례읍 삼봉로 125, 2층   ",063-291-3303,비어있음,비어있음
무주군학교밖청소년지원센터,전북특별자치도,무주군,55514,전북특별자치도 무주군,"무주읍 한풍루로 326-34 3층, 무주군청소년상담복지센터  ",063-324-6688,063-324-6680,비어있음
순창군학교밖청소년지원센터,전북특별자치도,순창군,56047,전북특별자치도 순창군,"순창읍 장류로 192, 청소년수련관 3층  ",063-652-1388,070-8220-3504,http://www.sc1388.or.kr/
전라남도학교밖청소년지원센터,전라남도,목포시,58614,전라남도 목포시 용당로 304 (용해동),", 전라남도청소년미래재단 2층",061-242-7474,061-242-1991,비어있음
목포시학교밖청소년지원센터,전라남도,목포시,58684,전라남도 목포시,"신흥로83번길 14, 목련아파트 복지동 1층  ",061-284-0924,061-287-0924,https://seafountain.mokpo.go.kr/youth/youth_support
여수시학교밖청소년지원센터,전라남도,여수시,59761,전라남도 여수시,신월로 648 전남대학교 국동캠퍼스 협동관 1층,061-641-0924,비어있음,http://www.ys1388.or.kr/
순천시학교밖청소년지원센터,전라남도,순천시,57956,전라남도 순천시,"장천안길 9, 3층  ",061-749-4235,비어있음,비어있음
나주시학교밖청소년지원센터,전라남도,나주시,58326,전라남도 나주시 교육길 13 (빛가람동),D-5동 112호,061-335-1388,061-333-1367,http://nj1388.webmaker21.kr/
광양시학교밖청소년지원센터,전라남도,광양시,57790,전라남도 광양시,광장로 14(중동) 광양시청소년문화센터 2층 꿈드림 사무실,061-795-7953,비어있음,비어있음
담양군학교밖청소년지원센터,전라남도,담양군,57344,전라남도 담양군,담양읍 지침6길 29(지침리 112-1번) 3층(담빛청소년문화의집),061-381-0924,비어있음,비어있음
